Frequency [MHz],|S0-0| [-],|S1-0| [-],Arg(S0-0) [rad],Arg(S1-0) [rad],Delay 0>0 [s],Delay 0>1 [s],|Z0| [Ohm],Arg(Z0) [rad]
5.164800e+03, 9.953233e-01, 2.213086e-01, -4.573199e-01, 8.124609e-01, 3.299178e-10, 2.208277e-10, 2.148301e+02, -1.560180e+00
5.170600e+03, 9.937999e-01, 2.238751e-01, -4.693429e-01, 8.044134e-01, 3.204969e-10, 2.122005e-10, 2.091206e+02, -1.557046e+00
5.176400e+03, 9.916942e-01, 2.265120e-01, -4.810226e-01, 7.966803e-01, 3.089840e-10, 2.051348e-10, 2.038370e+02, -1.552772e+00
5.182200e+03, 9.890767e-01, 2.292315e-01, -4.922827e-01, 7.892047e-01, 2.958067e-10, 2.001138e-10, 1.989689e+02, -1.547562e+00
5.188000e+03, 9.860301e-01, 2.320427e-01, -5.030627e-01, 7.819120e-01, 2.812310e-10, 1.971028e-10, 1.944999e+02, -1.541623e+00
5.193800e+03, 9.826406e-01, 2.349545e-01, -5.133114e-01, 7.747291e-01, 2.656701e-10, 1.960734e-10, 1.904116e+02, -1.535149e+00
5.199600e+03, 9.790032e-01, 2.379714e-01, -5.229931e-01, 7.675837e-01, 2.495591e-10, 1.970846e-10, 1.866830e+02, -1.528333e+00
5.205400e+03, 9.752146e-01, 2.410955e-01, -5.320876e-01, 7.604015e-01, 2.332185e-10, 2.001982e-10, 1.832907e+02, -1.521362e+00
5.211200e+03, 9.713719e-01, 2.443253e-01, -5.405867e-01, 7.531057e-01, 2.171913e-10, 2.050844e-10, 1.802113e+02, -1.514409e+00
5.217000e+03, 9.675700e-01, 2.476563e-01, -5.485017e-01, 7.456320e-01, 2.018909e-10, 2.114415e-10, 1.774186e+02, -1.507641e+00
5.222800e+03, 9.638995e-01, 2.510809e-01, -5.558591e-01, 7.379265e-01, 1.877231e-10, 2.193012e-10, 1.748853e+02, -1.501213e+00
5.228600e+03, 9.604422e-01, 2.545886e-01, -5.627002e-01, 7.299346e-01, 1.750131e-10, 2.280153e-10, 1.725833e+02, -1.495262e+00
5.234400e+03, 9.572730e-01, 2.581676e-01, -5.690781e-01, 7.216252e-01, 1.642225e-10, 2.374508e-10, 1.704840e+02, -1.489912e+00
5.240200e+03, 9.544530e-01, 2.618025e-01, -5.750628e-01, 7.129719e-01, 1.554616e-10, 2.470327e-10, 1.685567e+02, -1.485264e+00
5.246000e+03, 9.520319e-01, 2.654776e-01, -5.807282e-01, 7.039694e-01, 1.490899e-10, 2.567268e-10, 1.667723e+02, -1.481401e+00
5.251800e+03, 9.500436e-01, 2.691783e-01, -5.861614e-01, 6.946137e-01, 1.451649e-10, 2.659658e-10, 1.650997e+02, -1.478376e+00
5.257600e+03, 9.485091e-01, 2.728877e-01, -5.914515e-01, 6.849212e-01, 1.437061e-10, 2.746723e-10, 1.635092e+02, -1.476223e+00
5.263400e+03, 9.474337e-01, 2.765912e-01, -5.966885e-01, 6.749115e-01, 1.447182e-10, 2.825850e-10, 1.619723e+02, -1.474946e+00
5.269200e+03, 9.468071e-01, 2.802751e-01, -6.019624e-01, 6.646134e-01, 1.480762e-10, 2.895210e-10, 1.604618e+02, -1.474519e+00
5.275000e+03, 9.466068e-01, 2.839260e-01, -6.073587e-01, 6.540625e-01, 1.535601e-10, 2.954216e-10, 1.589528e+02, -1.474896e+00
5.280800e+03, 9.467955e-01, 2.875334e-01, -6.129548e-01, 6.432966e-01, 1.609746e-10, 3.001448e-10, 1.574239e+02, -1.475999e+00
5.286600e+03, 9.473253e-01, 2.910893e-01, -6.188211e-01, 6.323586e-01, 1.699283e-10, 3.035847e-10, 1.558564e+02, -1.477735e+00
5.292400e+03, 9.481388e-01, 2.945856e-01, -6.250137e-01, 6.212952e-01, 1.801390e-10, 3.059267e-10, 1.542369e+02, -1.479988e+00
5.298200e+03, 9.491727e-01, 2.980170e-01, -6.315784e-01, 6.101465e-01, 1.912077e-10, 3.072307e-10, 1.525554e+02, -1.482634e+00
5.304000e+03, 9.503565e-01, 3.013822e-01, -6.385465e-01, 5.989502e-01, 2.027455e-10, 3.072279e-10, 1.508069e+02, -1.485538e+00
5.309800e+03, 9.516162e-01, 3.046799e-01, -6.459351e-01, 5.877541e-01, 2.144227e-10, 3.064025e-10, 1.489907e+02, -1.488560e+00
5.315600e+03, 9.528800e-01, 3.079095e-01, -6.537492e-01, 5.765880e-01, 2.257826e-10, 3.044869e-10, 1.471096e+02, -1.491568e+00
5.321400e+03, 9.540740e-01, 3.110756e-01, -6.619772e-01, 5.654918e-01, 2.365599e-10, 3.018028e-10, 1.451710e+02, -1.494431e+00
5.327200e+03, 9.551316e-01, 3.141805e-01, -6.705981e-01, 5.544933e-01, 2.464137e-10, 2.983719e-10, 1.431844e+02, -1.497036e+00
5.333000e+03, 9.559883e-01, 3.172315e-01, -6.795780e-01, 5.436199e-01, 2.550317e-10, 2.942955e-10, 1.411617e+02, -1.499276e+00
5.338800e+03, 9.565892e-01, 3.202336e-01, -6.888720e-01, 5.328951e-01, 2.622726e-10, 2.897552e-10, 1.391169e+02, -1.501068e+00
5.344600e+03, 9.568876e-01, 3.231973e-01, -6.984298e-01, 5.223357e-01, 2.678660e-10, 2.848641e-10, 1.370640e+02, -1.502346e+00
5.350400e+03, 9.568456e-01, 3.261295e-01, -7.081915e-01, 5.119545e-01, 2.716958e-10, 2.796204e-10, 1.350177e+02, -1.503060e+00
5.356200e+03, 9.564379e-01, 3.290412e-01, -7.180928e-01, 5.017645e-01, 2.737412e-10, 2.744375e-10, 1.329924e+02, -1.503183e+00
5.362000e+03, 9.556494e-01, 3.319427e-01, -7.280686e-01, 4.917633e-01, 2.738986e-10, 2.692416e-10, 1.310012e+02, -1.502706e+00
5.367800e+03, 9.544759e-01, 3.348456e-01, -7.380502e-01, 4.819514e-01, 2.722049e-10, 2.642110e-10, 1.290566e+02, -1.501634e+00
5.373600e+03, 9.529267e-01, 3.377600e-01, -7.479700e-01, 4.723229e-01, 2.687259e-10, 2.595591e-10, 1.271693e+02, -1.499995e+00
5.379400e+03, 9.510194e-01, 3.406982e-01, -7.577630e-01, 4.628640e-01, 2.636332e-10, 2.553450e-10, 1.253487e+02, -1.497826e+00
5.385200e+03, 9.487860e-01, 3.436703e-01, -7.673705e-01, 4.535586e-01, 2.570095e-10, 2.517379e-10, 1.236021e+02, -1.495180e+00
5.391000e+03, 9.462625e-01, 3.466857e-01, -7.767365e-01, 4.443846e-01, 2.491550e-10, 2.488336e-10, 1.219354e+02, -1.492119e+00
5.396800e+03, 9.434983e-01, 3.497532e-01, -7.858164e-01, 4.353165e-01, 2.402126e-10, 2.468291e-10, 1.203524e+02, -1.488718e+00
5.402600e+03, 9.405467e-01, 3.528813e-01, -7.945703e-01, 4.263214e-01, 2.305310e-10, 2.455532e-10, 1.188555e+02, -1.485055e+00
5.408400e+03, 9.374650e-01, 3.560734e-01, -8.029714e-01, 4.173729e-01, 2.204416e-10, 2.453739e-10, 1.174451e+02, -1.481214e+00
5.414200e+03, 9.343159e-01, 3.593350e-01, -8.110049e-01, 4.084308e-01, 2.101626e-10, 2.460310e-10, 1.161199e+02, -1.477284e+00
5.420000e+03, 9.311610e-01, 3.626660e-01, -8.186637e-01, 3.994649e-01, 2.001125e-10, 2.475928e-10, 1.148773e+02, -1.473352e+00
5.425800e+03, 9.280609e-01, 3.660668e-01, -8.259563e-01, 3.904420e-01, 1.905558e-10, 2.500232e-10, 1.137130e+02, -1.469502e+00
5.431600e+03, 9.250765e-01, 3.695335e-01, -8.329006e-01, 3.813305e-01, 1.818674e-10, 2.531097e-10, 1.126215e+02, -1.465819e+00
5.437400e+03, 9.222598e-01, 3.730610e-01, -8.395283e-01, 3.721066e-01, 1.742235e-10, 2.568819e-10, 1.115958e+02, -1.462378e+00
5.443200e+03, 9.196581e-01, 3.766436e-01, -8.458775e-01, 3.627451e-01, 1.679849e-10, 2.612037e-10, 1.106284e+02, -1.459244e+00
5.449000e+03, 9.173113e-01, 3.802714e-01, -8.519992e-01, 3.532262e-01, 1.632605e-10, 2.658551e-10, 1.097103e+02, -1.456474e+00
5.454800e+03, 9.152472e-01, 3.839347e-01, -8.579489e-01, 3.435378e-01, 1.602574e-10, 2.706931e-10, 1.088324e+02, -1.454109e+00
