        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.23500000e+00,        +6.046645009691e-11,        +6.528316845376e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+00,        +5.541754650259e-11,        +6.069285714001e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.24500000e+00,        +5.105517415382e-11,        +5.675142138672e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.25000000e+00,        +4.725856852639e-11,        +5.334292024987e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.25500000e+00,        +4.393243262271e-11,        +5.037609171770e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+00,        +4.100077142164e-11,        +4.777833950202e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.26500000e+00,        +3.840239348746e-11,        +4.549135376062e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.27000000e+00,        +3.608758584244e-11,        +4.346787978596e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.27500000e+00,        +3.401562623859e-11,        +4.166930470734e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+00,        +3.215290097954e-11,        +4.006383478540e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.28500000e+00,        +3.047146599501e-11,        +3.862510433629e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.29000000e+00,        +2.894793606721e-11,        +3.733110371286e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.29500000e+00,        +2.756261958087e-11,        +3.616334564407e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+00,        +2.629883880098e-11,        +3.510621141854e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.30500000e+00,        +2.514239164789e-11,        +3.414643402879e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.31000000e+00,        +2.408112233194e-11,        +3.327268653042e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.31500000e+00,        +2.310457642529e-11,        +3.247525189377e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+00,        +2.220372193406e-11,        +3.174575646245e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.32500000e+00,        +2.137072233513e-11,        +3.107695342093e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.33000000e+00,        +2.059875080880e-11,        +3.046254585109e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.33500000e+00,        +1.988183734205e-11,        +2.989704133320e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.34000000e+00,        +1.921474222174e-11,        +2.937563183626e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.34500000e+00,        +1.859285083829e-11,        +2.889409400172e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.35000000e+00,        +1.801208579365e-11,        +2.844870596387e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.35500000e+00,        +1.746883313471e-11,        +2.803617765021e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+00,        +1.695988017497e-11,        +2.765359212545e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.36500000e+00,        +1.648236286880e-11,        +2.729835602652e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.37000000e+00,        +1.603372109589e-11,        +2.696815751526e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.37500000e+00,        +1.561166052469e-11,        +2.666093047506e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.38000000e+00,        +1.521411997024e-11,        +2.637482391500e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.38500000e+00,        +1.483924335918e-11,        +2.610817573454e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.39000000e+00,        +1.448535557249e-11,        +2.585949015360e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.39500000e+00,        +1.415094156414e-11,        +2.562741823464e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+00,        +1.383462825703e-11,        +2.541074102275e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.40500000e+00,        +1.353516880111e-11,        +2.520835490944e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.41000000e+00,        +1.325142884766e-11,        +2.501925889176e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.41500000e+00,        +1.298237454932e-11,        +2.484254345145e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.42000000e+00,        +1.272706204204e-11,        +2.467738082363e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.42500000e+00,        +1.248462820297e-11,        +2.452301645999e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.43000000e+00,        +1.225428250992e-11,        +2.437876152199e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.43500000e+00,        +1.203529985258e-11,        +2.424398626266e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+00,        +1.182701416820e-11,        +2.411811417681e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.44500000e+00,        +1.162881280666e-11,        +2.400061683098e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.45000000e+00,        +1.144013154702e-11,        +2.389100930067e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.45500000e+00,        +1.126045013702e-11,        +2.378884609225e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.46000000e+00,        +1.108928829334e-11,        +2.369371749029e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.46500000e+00,        +1.092620214927e-11,        +2.360524632067e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.47000000e+00,        +1.077078108163e-11,        +2.352308506514e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.47500000e+00,        +1.062264486243e-11,        +2.344691327568e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.48000000e+00,        +1.048144109932e-11,        +2.337643525525e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.48500000e+00,        +1.034684293339e-11,        +2.331137797558e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.49000000e+00,        +1.021854696569e-11,        +2.325148920545e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.49500000e+00,        +1.009627138709e-11,        +2.319653582597e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+00,        +9.979754289451e-12,        +2.314630231227e-11,        +0.000000000000e+00,        +0.000000000000e+00
