        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 3.20000000e-01,        +1.736169165626e-11,        +2.541494330814e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.25000000e-01,        +1.694538380638e-11,        +2.553043654287e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.30000000e-01,        +1.655369963610e-11,        +2.565008397062e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.35000000e-01,        +1.618548716662e-11,        +2.577407070118e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e-01,        +1.583969798016e-11,        +2.590259337793e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.45000000e-01,        +1.551537983765e-11,        +2.603586107290e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e-01,        +1.521167017413e-11,        +2.617409626436e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.55000000e-01,        +1.492779038968e-11,        +2.631753590613e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.60000000e-01,        +1.466304086596e-11,        +2.646643259864e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.65000000e-01,        +1.441679664909e-11,        +2.662105587345e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.70000000e-01,        +1.418850374950e-11,        +2.678169360396e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.75000000e-01,        +1.397767601786e-11,        +2.694865355721e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.80000000e-01,        +1.378389256468e-11,        +2.712226510312e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.85000000e-01,        +1.360679569812e-11,        +2.730288110017e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.90000000e-01,        +1.344608936229e-11,        +2.749087997890e-11,        +0.000000000000e+00,        +0.000000000000e+00
 3.95000000e-01,        +1.330153806463e-11,        +2.768666804748e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e-01,        +1.317296628827e-11,        +2.789068204741e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.05000000e-01,        +1.306025839160e-11,        +2.810339199095e-11,        +0.000000000000e+00,        +0.000000000000e+00
 4.10000000e-01,        +1.296335900486e-11,        +2.832530431695e-11,        +0.000000000000e+00,        +0.000000000000e+00
