        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 3.90000000e-01,        +7.071067811865e+00,        +8.867074643482e-03,        +2.433575063422e-01
 3.95000000e-01,        +7.071067811865e+00,        +9.195644341727e-03,        +2.524502218278e-01
 4.00000000e-01,        +7.071067811865e+00,        +9.540840171711e-03,        +2.615563529398e-01
 4.05000000e-01,        +7.071067811865e+00,        +9.903093969849e-03,        +2.706812705003e-01
 4.10000000e-01,        +7.071067811865e+00,        +1.028288901390e-02,        +2.798304313685e-01
 4.15000000e-01,        +7.071067811865e+00,        +1.068076333023e-02,        +2.890093999967e-01
 4.20000000e-01,        +7.071067811865e+00,        +1.109731349023e-02,        +2.982238710262e-01
 4.25000000e-01,        +7.071067811865e+00,        +1.153319894991e-02,        +3.074796931359e-01
 4.30000000e-01,        +7.071067811865e+00,        +1.198914699589e-02,        +3.167828943767e-01
 4.35000000e-01,        +7.071067811865e+00,        +1.246595837201e-02,        +3.261397092498e-01
 4.40000000e-01,        +7.071067811865e+00,        +1.296451367370e-02,        +3.355566078168e-01
 4.45000000e-01,        +7.071067811865e+00,        +1.348578061197e-02,        +3.450403271637e-01
 4.50000000e-01,        +7.071067811865e+00,        +1.403082226675e-02,        +3.545979055848e-01
 4.55000000e-01,        +7.071067811865e+00,        +1.460080647016e-02,        +3.642367198989e-01
 4.60000000e-01,        +7.071067811865e+00,        +1.519701648515e-02,        +3.739645263708e-01
 4.65000000e-01,        +7.071067811865e+00,        +1.582086317446e-02,        +3.837895057801e-01
 4.70000000e-01,        +7.071067811865e+00,        +1.647389889079e-02,        +3.937203132605e-01
 4.75000000e-01,        +7.071067811865e+00,        +1.715783336141e-02,        +4.037661336313e-01
 4.80000000e-01,        +7.071067811865e+00,        +1.787455189250e-02,        +4.139367430593e-01
 4.85000000e-01,        +7.071067811865e+00,        +1.862613628090e-02,        +4.242425780277e-01
 4.90000000e-01,        +7.071067811865e+00,        +1.941488889760e-02,        +4.346948127543e-01
 4.95000000e-01,        +7.071067811865e+00,        +2.024336050056e-02,        +4.453054464047e-01
 5.00000000e-01,        +7.071067811865e+00,        +2.111438244925e-02,        +4.560874016819e-01
 5.05000000e-01,        +7.071067811865e+00,        +2.203110413522e-02,        +4.670546366705e-01
 5.10000000e-01,        +7.071067811865e+00,        +2.299703661838e-02,        +4.782222721654e-01
 5.15000000e-01,        +7.071067811865e+00,        +2.401610367830e-02,        +4.896067371467e-01
 5.20000000e-01,        +7.071067811865e+00,        +2.509270176376e-02,        +5.012259355944e-01
 5.25000000e-01,        +7.071067811865e+00,        +2.623177067009e-02,        +5.130994384844e-01
 5.30000000e-01,        +7.071067811865e+00,        +2.743887721135e-02,        +5.252487056149e-01
 5.35000000e-01,        +7.071067811865e+00,        +2.872031471306e-02,        +5.376973429108e-01
 5.40000000e-01,        +7.071067811865e+00,        +3.008322186651e-02,        +5.504714021039e-01
 5.45000000e-01,        +7.071067811865e+00,        +3.153572540969e-02,        +5.635997312529e-01
 5.50000000e-01,        +7.071067811865e+00,        +3.308711229981e-02,        +5.771143865485e-01
 5.55000000e-01,        +7.071067811865e+00,        +3.474803861397e-02,        +5.910511183634e-01
 5.60000000e-01,        +7.071067811865e+00,        +3.653078448609e-02,        +6.054499477230e-01
 5.65000000e-01,        +7.071067811865e+00,        +3.844956714351e-02,        +6.203558535090e-01
 5.70000000e-01,        +7.071067811865e+00,        +4.052092780048e-02,        +6.358195960700e-01
 5.75000000e-01,        +7.071067811865e+00,        +4.276421316442e-02,        +6.518987099121e-01
 5.80000000e-01,        +7.071067811865e+00,        +4.520217913854e-02,        +6.686587073460e-01
 5.85000000e-01,        +7.071067811865e+00,        +4.786175372853e-02,        +6.861745471736e-01
 5.90000000e-01,        +7.071067811865e+00,        +5.077500930816e-02,        +7.045324388208e-01
 5.95000000e-01,        +7.071067811865e+00,        +5.398041295560e-02,        +7.238320743473e-01
 6.00000000e-01,        +7.071067811865e+00,        +5.752445009220e-02,        +7.441894107629e-01
 6.05000000e-01,        +7.071067811865e+00,        +6.146375506241e-02,        +7.657401663462e-01
 6.10000000e-01,        +7.071067811865e+00,        +6.586793871895e-02,        +7.886442520049e-01
 6.15000000e-01,        +7.071067811865e+00,        +7.082338726383e-02,        +8.130914392775e-01
 6.20000000e-01,        +7.071067811865e+00,        +7.643843431409e-02,        +8.393086809918e-01
 6.25000000e-01,        +7.071067811865e+00,        +8.285050545427e-02,        +8.675696649683e-01
 6.30000000e-01,        +7.071067811865e+00,        +9.023614535403e-02,        +8.982074199641e-01
 6.35000000e-01,        +7.071067811865e+00,        +9.882533778384e-02,        +9.316311438332e-01
 6.40000000e-01,        +7.071067811865e+00,        +1.089223530808e-01,        +9.683489442198e-01
 6.45000000e-01,        +7.071067811865e+00,        +1.209367508907e-01,        +1.008998959718e+00
 6.50000000e-01,        +7.071067811865e+00,        +1.354305886011e-01,        +1.054392494440e+00
 6.55000000e-01,        +7.071067811865e+00,        +1.531922311480e-01,        +1.105574531136e+00
 6.60000000e-01,        +7.071067811865e+00,        +1.753552234072e-01,        +1.163909487679e+00
 6.65000000e-01,        +7.071067811865e+00,        +2.035962330221e-01,        +1.231203387468e+00
 6.70000000e-01,        +7.071067811865e+00,        +2.404773021360e-01,        +1.309876845600e+00
 6.75000000e-01,        +7.071067811865e+00,        +2.900632391954e-01,        +1.403201757630e+00
 6.80000000e-01,        +7.071067811865e+00,        +3.590892373946e-01,        +1.515589020959e+00
 6.85000000e-01,        +7.071067811865e+00,        +4.592848136440e-01,        +1.652788899914e+00
 6.90000000e-01,        +7.071067811865e+00,        +6.122372074572e-01,        +1.821333487637e+00
 6.95000000e-01,        +7.071067811865e+00,        +8.599023243993e-01,        +2.024324380309e+00
 7.00000000e-01,        +7.071067811865e+00,        +1.286115195441e+00,        +2.241215793537e+00
 7.05000000e-01,        +7.071067811865e+00,        +2.039656197280e+00,        +2.342575540331e+00
 7.10000000e-01,        +7.071067811865e+00,        +3.168827162986e+00,        +1.844832541047e+00
 7.15000000e-01,        +7.071067811865e+00,        +3.721936648292e+00,        +2.102011317891e-01
 7.20000000e-01,        +7.071067811865e+00,        +2.741309642351e+00,        -1.132621467357e+00
 7.25000000e-01,        +7.071067811865e+00,        +1.618999929879e+00,        -1.309620048837e+00
 7.30000000e-01,        +7.071067811865e+00,        +9.637171752656e-01,        -1.070770152559e+00
 7.35000000e-01,        +7.071067811865e+00,        +6.138163791499e-01,        -7.976063603674e-01
