        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 5.15000000e-01,        -8.637795450238e-03,        +1.760256580313e+02
 5.20000000e-01,        -8.956330051788e-03,        +1.759310336680e+02
 5.25000000e-01,        -9.305089580441e-03,        +1.758343084766e+02
 5.30000000e-01,        -9.687331374194e-03,        +1.757353039903e+02
 5.35000000e-01,        -1.010677827874e-02,        +1.756338236704e+02
 5.40000000e-01,        -1.056770004406e-02,        +1.755296503502e+02
 5.45000000e-01,        -1.107501183989e-02,        +1.754225432405e+02
 5.50000000e-01,        -1.163439412131e-02,        +1.753122344016e+02
 5.55000000e-01,        -1.225243928744e-02,        +1.751984245688e+02
 5.60000000e-01,        -1.293683218519e-02,        +1.750807781873e+02
 5.65000000e-01,        -1.369657366418e-02,        +1.749589174748e+02
 5.70000000e-01,        -1.454225929820e-02,        +1.748324152817e+02
 5.75000000e-01,        -1.548642935412e-02,        +1.747007864533e+02
 5.80000000e-01,        -1.654401154669e-02,        +1.745634773141e+02
 5.85000000e-01,        -1.773288570969e-02,        +1.744198527790e+02
 5.90000000e-01,        -1.907461019005e-02,        +1.742691804414e+02
 5.95000000e-01,        -2.059536496812e-02,        +1.741106107790e+02
 6.00000000e-01,        -2.232718841409e-02,        +1.739431523247e+02
 6.05000000e-01,        -2.430961660821e-02,        +1.737656402486e+02
 6.10000000e-01,        -2.659188164543e-02,        +1.735766962204e+02
 6.15000000e-01,        -2.923589693003e-02,        +1.733746766062e+02
 6.20000000e-01,        -3.232036725181e-02,        +1.731576048609e+02
 6.25000000e-01,        -3.594653301995e-02,        +1.729230822301e+02
 6.30000000e-01,        -4.024633178500e-02,        +1.726681682457e+02
 6.35000000e-01,        -4.539420692743e-02,        +1.723892185004e+02
 6.40000000e-01,        -5.162454082112e-02,        +1.720816609654e+02
 6.45000000e-01,        -5.925797515750e-02,        +1.717396822537e+02
 6.50000000e-01,        -6.874216027197e-02,        +1.713557792456e+02
 6.55000000e-01,        -8.071665707959e-02,        +1.709201049928e+02
