        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 3.90000000e-01,        +1.414213562373e-01,        +1.773414928696e-04,        +4.867150126844e-03
 3.95000000e-01,        +1.414213562373e-01,        +1.839128868345e-04,        +5.049004436555e-03
 4.00000000e-01,        +1.414213562373e-01,        +1.908168034342e-04,        +5.231127058796e-03
 4.05000000e-01,        +1.414213562373e-01,        +1.980618793970e-04,        +5.413625410006e-03
 4.10000000e-01,        +1.414213562373e-01,        +2.056577802781e-04,        +5.596608627371e-03
 4.15000000e-01,        +1.414213562373e-01,        +2.136152666046e-04,        +5.780187999934e-03
 4.20000000e-01,        +1.414213562373e-01,        +2.219462698046e-04,        +5.964477420524e-03
 4.25000000e-01,        +1.414213562373e-01,        +2.306639789982e-04,        +6.149593862718e-03
 4.30000000e-01,        +1.414213562373e-01,        +2.397829399178e-04,        +6.335657887534e-03
 4.35000000e-01,        +1.414213562373e-01,        +2.493191674402e-04,        +6.522794184996e-03
 4.40000000e-01,        +1.414213562373e-01,        +2.592902734741e-04,        +6.711132156335e-03
 4.45000000e-01,        +1.414213562373e-01,        +2.697156122394e-04,        +6.900806543273e-03
 4.50000000e-01,        +1.414213562373e-01,        +2.806164453349e-04,        +7.091958111696e-03
 4.55000000e-01,        +1.414213562373e-01,        +2.920161294033e-04,        +7.284734397978e-03
 4.60000000e-01,        +1.414213562373e-01,        +3.039403297030e-04,        +7.479290527416e-03
 4.65000000e-01,        +1.414213562373e-01,        +3.164172634892e-04,        +7.675790115602e-03
 4.70000000e-01,        +1.414213562373e-01,        +3.294779778158e-04,        +7.874406265209e-03
 4.75000000e-01,        +1.414213562373e-01,        +3.431566672283e-04,        +8.075322672625e-03
 4.80000000e-01,        +1.414213562373e-01,        +3.574910378501e-04,        +8.278734861187e-03
 4.85000000e-01,        +1.414213562373e-01,        +3.725227256181e-04,        +8.484851560554e-03
 4.90000000e-01,        +1.414213562373e-01,        +3.882977779521e-04,        +8.693896255087e-03
 4.95000000e-01,        +1.414213562373e-01,        +4.048672100111e-04,        +8.906108928095e-03
