f_Hz,ReZ0_ohm,ImZ0_ohm
4.360000000000000000e+08,4.862348564786610439e+01,-2.106297596781329662e-01
4.380000000000000000e+08,4.862271254154525479e+01,-2.112807100866279375e-01
4.400000000000000000e+08,4.862193742608674540e+01,-2.119277621532118516e-01
4.420000000000000000e+08,4.862116031844902864e+01,-2.125709060361113956e-01
4.440000000000000000e+08,4.862038123561880099e+01,-2.132101319658021021e-01
4.460000000000000000e+08,4.861960019461092486e+01,-2.138454302451077427e-01
4.480000000000000000e+08,4.861881721246852095e+01,-2.144767912493670270e-01
4.500000000000000000e+08,4.861803230626276218e+01,-2.151042054263286041e-01
4.520000000000000000e+08,4.861724549309285948e+01,-2.157276632964528762e-01
4.540000000000000000e+08,4.861645679008606180e+01,-2.163471554528300089e-01
4.560000000000000000e+08,4.861566621439754243e+01,-2.169626725613843787e-01
4.580000000000000000e+08,4.861487378321032082e+01,-2.175742053608551718e-01
4.600000000000000000e+08,4.861407951373525549e+01,-2.181817446630102686e-01
4.620000000000000000e+08,4.861328342321097296e+01,-2.187852813526590945e-01
4.640000000000000000e+08,4.861248552890374697e+01,-2.193848063877919530e-01
4.660000000000000000e+08,4.861168584810746296e+01,-2.199803107997222729e-01
4.680000000000000000e+08,4.861088439814357542e+01,-2.205717856931006804e-01
4.700000000000000000e+08,4.861008119636098002e+01,-2.211592222460822821e-01
4.720000000000000000e+08,4.860927626013594960e+01,-2.217426117104946415e-01
4.740000000000000000e+08,4.860846960687207030e+01,-2.223219454118117722e-01
4.760000000000000000e+08,4.860766125400016335e+01,-2.228972147494510669e-01
4.780000000000000000e+08,4.860685121897815719e+01,-2.234684111967874809e-01
4.800000000000000000e+08,4.860603951929106614e+01,-2.240355263012290821e-01
4.820000000000000000e+08,4.860522617245078436e+01,-2.245985516845010743e-01
4.840000000000000000e+08,4.860441119599615689e+01,-2.251574790426493500e-01
4.860000000000000000e+08,4.860359460749272387e+01,-2.257123001462192358e-01
4.880000000000000000e+08,4.860277642453269209e+01,-2.262630068403622130e-01
4.900000000000000000e+08,4.860195666473484266e+01,-2.268095910450229902e-01
4.920000000000000000e+08,4.860113534574438177e+01,-2.273520447550276546e-01
4.940000000000000000e+08,4.860031248523281278e+01,-2.278903600402818197e-01
4.960000000000000000e+08,4.859948810089792204e+01,-2.284245290457977695e-01
4.980000000000000000e+08,4.859866221046350887e+01,-2.289545439920011582e-01
5.000000000000000000e+08,4.859783483167935714e+01,-2.294803971747422511e-01
5.020000000000000000e+08,4.859700598232116420e+01,-2.300020809655182741e-01
5.040000000000000000e+08,4.859617568019024247e+01,-2.305195878115636754e-01
5.060000000000000000e+08,4.859534394311349104e+01,-2.310329102361174392e-01
5.080000000000000000e+08,4.859451078894326770e+01,-2.315420408384128714e-01
5.100000000000000000e+08,4.859367623555719717e+01,-2.320469722938891255e-01
5.120000000000000000e+08,4.859284030085807160e+01,-2.325476973544748638e-01
5.140000000000000000e+08,4.859200300277362317e+01,-2.330442088485602803e-01
5.160000000000000000e+08,4.859116435925644595e+01,-2.335364996812230309e-01
5.180000000000000000e+08,4.859032438828381117e+01,-2.340245628344646278e-01
5.200000000000000000e+08,4.858948310785743985e+01,-2.345083913671887899e-01
5.220000000000000000e+08,4.858864053600344590e+01,-2.349879784155487761e-01
